Round,Money,Initial Bet,BLACKJACK,WIN,DOUBLE_WIN,PUSH,DOUBLE_BUST,BUST,DOUBLE_LOSE,LOSE
1,10000.0,1.0,0,0,0,0,0,1,0,0
2,9999.0,1.0,0,1,0,0,0,0,0,0
3,10000.0,1.0,0,0,0,0,0,0,0,1
4,9999.0,1.0,0,0,1,0,0,0,0,0
5,10001.0,1.0,0,0,0,0,0,1,0,0
6,10000.0,1.0,0,0,0,0,0,1,0,0
7,9999.0,1.0,0,0,0,0,0,1,0,0
8,9998.0,1.0,0,1,0,0,0,0,0,0
9,9999.0,1.0,0,1,0,0,0,0,0,0
10,10000.0,1.0,0,1,0,0,0,0,0,0
11,10001.0,1.0,0,0,1,0,0,0,0,0
12,10003.0,1.0,0,0,0,0,0,1,0,0
13,10002.0,1.0,0,0,0,0,0,0,0,1
14,10001.0,1.0,0,1,0,0,0,0,0,0
15,10002.0,1.0,0,0,0,0,0,0,0,1
16,10001.0,1.0,0,0,1,0,0,0,0,0
17,10003.0,1.0,1,0,0,0,0,0,0,0
18,10004.5,1.0,0,0,0,0,0,0,0,1
19,10003.5,1.0,0,1,0,0,0,0,0,0
20,10004.5,1.0,0,0,0,0,0,1,0,0
21,10003.5,1.0,0,0,0,0,0,0,1,0
22,10001.5,1.0,0,0,1,0,0,0,0,0
23,10003.5,1.0,0,1,0,0,0,0,0,0
24,10004.5,1.0,0,0,0,0,0,1,0,0
25,10003.5,1.0,0,0,0,0,0,0,0,1
26,10002.5,1.0,0,0,0,0,0,0,0,1
27,10001.5,1.0,0,0,0,0,0,0,0,1
28,10000.5,1.0,0,1,0,0,0,0,0,0
29,10001.5,1.0,0,1,0,0,0,0,0,0
30,10002.5,1.0,0,0,1,0,0,0,0,0
31,10004.5,1.0,0,1,0,0,0,0,0,0
32,10005.5,1.0,0,0,0,0,0,0,0,1
33,10004.5,1.0,0,0,0,0,0,0,0,1
34,10003.5,1.0,0,1,0,0,0,0,0,0
35,10004.5,1.0,0,1,0,0,0,0,0,0
36,10005.5,1.0,0,0,0,0,0,0,0,1
37,10004.5,1.0,0,0,0,0,0,0,0,1
38,10003.5,1.0,0,0,1,0,0,0,0,0
39,10005.5,1.0,0,0,0,0,0,0,1,0
40,10003.5,1.0,0,0,0,0,0,0,0,1
41,10002.5,1.0,0,1,0,0,0,0,0,0
42,10003.5,1.0,0,0,0,0,0,0,0,1
43,10002.5,1.0,0,1,0,0,0,0,0,0
44,10003.5,1.0,0,0,0,1,0,0,0,0
45,10003.5,1.0,0,0,0,0,0,0,0,1
46,10002.5,1.0,0,2,0,0,0,0,0,0
47,10004.5,1.0,0,0,1,0,0,0,0,0
48,10006.5,1.0,0,0,0,0,0,1,0,0
49,10005.5,1.0,0,1,0,0,0,0,0,0
50,10006.5,1.0,0,1,0,0,0,0,0,0
51,10007.5,1.0,0,0,0,1,0,0,0,0
52,10007.5,1.0,0,1,0,0,0,0,0,0
53,10008.5,1.0,0,0,0,0,0,1,0,0
54,10007.5,1.0,0,0,0,0,0,0,0,1
55,10006.5,1.0,0,0,0,0,0,0,0,1
56,10005.5,1.0,0,0,0,0,0,0,0,1
57,10004.5,1.0,0,0,0,0,0,0,0,1
58,10003.5,1.0,0,0,0,0,0,0,0,1
59,10002.5,1.0,0,0,0,0,0,1,0,0
60,10001.5,1.0,0,1,0,0,0,0,0,0
61,10002.5,1.0,0,0,0,0,0,0,0,1
62,10001.5,2.0,0,0,0,0,0,0,0,1
63,9999.5,1.5,0,0,1,0,0,0,0,0
64,10002.5,2.25,0,0,0,1,0,0,0,0
65,10002.5,2.5,0,0,0,0,0,0,0,1
66,10000.0,3.0,0,0,0,0,0,1,0,0
67,9997.0,1.75,0,0,0,0,0,0,1,0
68,9993.5,1.5,0,0,1,0,0,0,0,0
69,9996.5,2.5,0,1,0,0,0,0,0,0
70,9999.0,1.75,0,0,0,0,0,0,0,1
71,9997.25,3.25,0,1,0,0,0,0,0,0
72,10000.5,3.25,0,1,0,0,0,0,0,0
73,10003.75,3.75,0,1,0,0,0,0,0,0
74,10007.5,4.75,0,0,0,0,0,0,1,0
75,9998.0,5.25,0,0,0,0,0,0,0,1
76,9992.75,5.0,0,0,0,0,0,1,0,0
77,9987.75,1.0,0,0,1,0,0,0,0,0
78,9989.75,1.0,0,1,0,0,0,0,0,0
79,9990.75,1.0,0,1,0,0,0,0,0,0
80,9991.75,1.0,0,0,0,0,0,1,0,0
81,9990.75,1.0,0,1,0,0,0,0,0,0
82,9991.75,1.0,0,0,0,0,0,0,0,1
83,9990.75,1.25,0,0,0,0,0,0,0,1
84,9989.5,1.25,0,1,0,0,0,0,0,0
85,9990.75,1.0,0,0,0,0,0,0,0,1
86,9989.75,1.0,0,0,0,0,0,0,0,1
87,9988.75,1.0,0,1,0,0,0,0,0,0
88,9989.75,1.0,0,0,0,1,0,0,0,0
89,9989.75,1.0,0,1,0,0,0,0,0,0
90,9990.75,1.0,0,1,0,0,0,0,0,0
91,9991.75,1.0,0,0,0,1,0,0,0,0
92,9991.75,1.0,0,0,0,0,0,0,0,1
93,9990.75,1.0,0,0,0,0,0,0,0,1
94,9989.75,1.0,0,0,0,0,0,0,0,1
95,9988.75,1.0,1,0,0,0,0,0,0,0
96,9990.25,1.0,0,1,0,0,0,0,0,0
97,9991.25,1.0,0,0,0,0,0,0,0,1
98,9990.25,1.0,0,0,0,0,0,0,0,1
99,9989.25,1.0,0,0,1,0,0,0,0,0
100,9991.25,1.0,1,0,0,0,0,0,0,0
101,9992.75,1.0,0,0,0,0,0,0,0,1
102,9991.75,1.0,0,0,0,0,0,1,0,0
103,9990.75,1.0,0,0,0,0,0,0,0,1
104,9989.75,1.0,0,0,0,0,0,0,0,1
105,9988.75,1.0,0,0,0,1,0,0,0,0
106,9988.75,1.0,0,0,0,0,0,1,0,0
107,9987.75,1.0,0,0,0,1,0,0,0,0
108,9987.75,1.0,0,1,0,0,0,0,0,0
109,9988.75,1.0,0,0,0,0,0,0,0,1
110,9987.75,1.0,1,0,0,0,0,0,0,0
111,9989.25,1.0,0,0,0,1,0,0,0,0
112,9989.25,1.0,0,0,0,0,0,1,0,0
113,9988.25,1.0,0,0,0,0,0,1,0,0
114,9987.25,1.0,0,0,1,0,0,0,0,0
115,9989.25,1.0,0,1,0,0,0,0,0,0
116,9990.25,1.0,1,0,0,0,0,0,0,0
117,9991.75,1.0,0,1,0,0,0,0,0,0
118,9992.75,1.0,0,0,1,0,0,0,0,0
119,9994.75,1.0,0,0,0,0,0,0,0,1
120,9993.75,1.0,0,1,0,0,0,0,0,0
121,9994.75,1.0,0,1,0,0,0,0,0,0
122,9995.75,1.0,0,0,0,1,0,0,0,0
123,9995.75,1.0,0,0,0,0,0,0,0,1
124,9994.75,1.0,0,1,0,0,0,0,0,0
125,9995.75,1.0,0,0,0,0,0,0,0,1
126,9994.75,1.0,0,0,0,0,0,0,0,1
127,9993.75,1.0,0,0,0,0,0,0,0,1
128,9992.75,1.0,0,0,0,0,0,0,0,1
129,9991.75,1.0,0,0,0,0,0,0,0,1
130,9990.75,1.0,0,1,0,0,0,0,0,0
